Node Number = 390
Cell Number = 721
140 21000.000000 64951.905300 580.000000
141 22500.000000 62353.829100 580.000000
142 24000.000000 59755.752900 580.000000
143 25500.000000 57157.676600 580.000000
144 27000.000000 54559.600400 580.000000
145 28500.000000 51961.524200 580.000000
146 13500.000000 72746.133900 580.000000
147 12000.000000 70148.057700 580.000000
148 10500.000000 67549.981500 580.000000
149 9000.000000 64951.905300 580.000000
150 7500.000000 62353.829100 580.000000
151 6000.000000 59755.752900 580.000000
152 4500.000000 57157.676600 580.000000
153 3000.000000 54559.600400 580.000000
154 1500.000000 51961.524200 580.000000
155 0.000000 49363.448000 580.000000
156 15000.000000 70148.057700 580.000000
157 16500.000000 67549.981500 580.000000
158 18000.000000 64951.905300 580.000000
159 19500.000000 62353.829100 580.000000
160 21000.000000 59755.752900 580.000000
161 22500.000000 57157.676600 580.000000
162 24000.000000 54559.600400 580.000000
163 25500.000000 51961.524200 580.000000
164 27000.000000 49363.448000 580.000000
165 28500.000000 46765.371800 580.000000
166 13500.000000 67549.981500 580.000000
167 12000.000000 64951.905300 580.000000
168 10500.000000 62353.829100 580.000000
169 9000.000000 59755.752900 580.000000
170 7500.000000 57157.676600 580.000000
171 6000.000000 54559.600400 580.000000
172 4500.000000 51961.524200 580.000000
173 3000.000000 49363.448000 580.000000
174 1500.000000 46765.371800 580.000000
175 0.000000 44167.295600 580.000000
176 15000.000000 64951.905300 580.000000
177 16500.000000 62353.829100 580.000000
178 18000.000000 59755.752900 580.000000
179 19500.000000 57157.676600 580.000000
180 21000.000000 54559.600400 580.000000
181 22500.000000 51961.524200 580.000000
182 24000.000000 49363.448000 580.000000
183 25500.000000 46765.371800 580.000000
184 27000.000000 44167.295600 580.000000
185 28500.000000 41569.219400 580.000000
186 13500.000000 62353.829100 580.000000
187 12000.000000 59755.752900 580.000000
188 10500.000000 57157.676600 580.000000
189 9000.000000 54559.600400 580.000000
190 7500.000000 51961.524200 580.000000
191 6000.000000 49363.448000 580.000000
192 4500.000000 46765.371800 580.000000
193 3000.000000 44167.295600 580.000000
194 1500.000000 41569.219400 580.000000
195 0.000000 38971.143200 580.000000
196 15000.000000 59755.752900 580.000000
197 16500.000000 57157.676600 580.000000
198 18000.000000 54559.600400 580.000000
199 19500.000000 51961.524200 580.000000
200 21000.000000 49363.448000 580.000000
201 22500.000000 46765.371800 580.000000
202 24000.000000 44167.295600 580.000000
203 25500.000000 41569.219400 580.000000
204 27000.000000 38971.143200 580.000000
205 28500.000000 36373.067000 580.000000
206 13500.000000 57157.676600 580.000000
207 12000.000000 54559.600400 580.000000
208 10500.000000 51961.524200 580.000000
209 9000.000000 49363.448000 580.000000
210 7500.000000 46765.371800 580.000000
211 6000.000000 44167.295600 580.000000
212 4500.000000 41569.219400 580.000000
213 3000.000000 38971.143200 580.000000
214 1500.000000 36373.067000 580.000000
215 0.000000 33774.990700 580.000000
216 15000.000000 54559.600400 580.000000
217 16500.000000 51961.524200 580.000000
218 18000.000000 49363.448000 580.000000
219 19500.000000 46765.371800 580.000000
220 21000.000000 44167.295600 580.000000
221 22500.000000 41569.219400 580.000000
222 24000.000000 38971.143200 580.000000
223 25500.000000 36373.067000 580.000000
224 27000.000000 33774.990700 580.000000
225 28500.000000 31176.914500 580.000000
226 13500.000000 51961.524200 580.000000
227 12000.000000 49363.448000 580.000000
228 10500.000000 46765.371800 580.000000
229 9000.000000 44167.295600 580.000000
230 7500.000000 41569.219400 580.000000
231 6000.000000 38971.143200 580.000000
232 4500.000000 36373.067000 580.000000
233 3000.000000 33774.990700 580.000000
234 1500.000000 31176.914500 580.000000
235 0.000000 28578.838300 580.000000
236 15000.000000 49363.448000 580.000000
237 16500.000000 46765.371800 580.000000
238 18000.000000 44167.295600 580.000000
239 19500.000000 41569.219400 580.000000
240 21000.000000 38971.143200 580.000000
241 22500.000000 36373.067000 580.000000
242 24000.000000 33774.990700 580.000000
243 25500.000000 31176.914500 580.000000
244 27000.000000 28578.838300 580.000000
245 28500.000000 25980.762100 580.000000
246 13500.000000 46765.371800 580.000000
247 12000.000000 44167.295600 580.000000
248 10500.000000 41569.219400 580.000000
249 9000.000000 38971.143200 580.000000
250 7500.000000 36373.067000 580.000000
